arxiv_id,concept_iri,canonical_label,usage_context,extraction_rule
2606.19279v1,http://cll.niimm.ksu.ru/ontologies/mathematics#E2271,Ring,"r numerically stable, differentiable training: the lazy log-tensor monad over the log-semiring. For efficient training in batches, we furthermore employ a batch monad. The axioms are the source code: writ",MathEntRuler lexical concept match
2606.19278v1,http://cll.niimm.ksu.ru/ontologies/mathematics#E1301,Operation,Sequential Fair Allocation and Routing in Nonprofit Operations We study a dynamic fair sequential allocation problem in which a central planner distributes a divisible res,MathEntRuler lexical concept match
2606.19278v1,http://cll.niimm.ksu.ru/ontologies/mathematics#E2129,Coefficient,"policy and show that, under certain conditions, visiting locations in decreasing order of coefficient of variation (CV) of demand is optimal. Building on this insight, we propose a simple heuristic, PPA-deCV, wh",MathEntRuler lexical concept match
2606.19278v1,http://cll.niimm.ksu.ru/ontologies/mathematics#E1374,Join,"ef and food distribution, we incorporate routing decisions into the planner's problem and jointly optimize allocation and visitation order under two max-min fairness objectives, ex-post and forward. We fi",MathEntRuler lexical concept match
2606.19268v1,http://cll.niimm.ksu.ru/ontologies/mathematics#E847,Set,"al networks, in particular transformers. The inspiration for this comes from the HTSR and SETOL work of Martin, Mahoney and Hinrichs, combined with the TwoNN intrinsic dimension estimator of Facco et al.",MathEntRuler lexical concept match
2606.19268v1,http://cll.niimm.ksu.ru/ontologies/mathematics#E2106,Dimension,Patnaik-Pearson intrinsic dimension for internal representations of neural networks We define a new measure of intrinsic dimension of a data mani,MathEntRuler lexical concept match
2606.19268v1,http://cll.niimm.ksu.ru/ontologies/mathematics#E1349,Embedding,"to investigate first the Patnaik-Pearson dimension of the initial data manifold of token embeddings, and second the evolution of the Patnaik-Pearson dimension as token embeddings pass through the layers of th",MathEntRuler lexical concept match
2606.19260v1,http://cll.niimm.ksu.ru/ontologies/mathematics#E1505,Function,Dynamics of simply parabolic inner functions We study the dynamics of Polya-Szegö inner functions and discuss some of their basic properties such as equi,MathEntRuler lexical concept match
2606.19260v1,http://cll.niimm.ksu.ru/ontologies/mathematics#E1315,Addition,"establish the Orbit Counting Theorem up to a Cesàro average for Lavaurs semigroups. If we additionally assume that $F$ is a parabolic one component inner function, then the geodesic flow is mixing and the ful",MathEntRuler lexical concept match
2606.19260v1,http://cll.niimm.ksu.ru/ontologies/mathematics#E2145,Group,"We define a geodesic flow on the Riemann surface lamination associated to the Lavaurs semigroup and show that it is ergodic. As an application, we establish the Orbit Counting Theorem up to a Cesàro averag",MathEntRuler lexical concept match
2606.19260v1,http://cll.niimm.ksu.ru/ontologies/mathematics#E1368,Orbit,"to the Lavaurs semigroup and show that it is ergodic. As an application, we establish the Orbit Counting Theorem up to a Cesàro average for Lavaurs semigroups. If we additionally assume that $F$ is a parab",MathEntRuler lexical concept match
